Mname,Mailage,price,rateing
2020 Mercedes-Benz CLA 250 Base 4MATIC,"28,744 mi.","$35,995",4.4
2019 Mercedes-Benz AMG GT 53 Base,"25,771 mi.","$79,995",4.0
2021 Mercedes-Benz AMG GLE 53 Base,"22,374 mi.","$80,923",2.8
2022 Mercedes-Benz AMG CLA 45 Base 4MATIC,"10,595 mi.","$56,633",data is not available
2021 Mercedes-Benz AMG GLE 53 Base,"33,622 mi.","$76,995",4.7
2021 Mercedes-Benz E-Class E 450 4MATIC,"12,477 mi.","$76,532",4.5
2021 Mercedes-Benz AMG GLE 63 S-Model 4MATIC,"22,383 mi.","$102,990",4.8
2019 Mercedes-Benz S-Class S 560,"49,332 mi.","$54,580",4.8
2021 Mercedes-Benz AMG GLE 53 Base,"37,688 mi.","$76,715",2.8
2021 Mercedes-Benz GLA 250 Base,"19,521 mi.","$34,999",4.6
2022 Mercedes-Benz AMG C 43 Base 4MATIC,"14,420 mi.","$62,991",4.8
2018 Mercedes-Benz AMG C 43 Base 4MATIC,"34,555 mi.","$39,999",4.4
2021 Mercedes-Benz E-Class E 450 4MATIC,"16,474 mi.","$74,998",4.8
2021 Mercedes-Benz S-Class S 580 4MATIC,"10,233 mi.","$99,822",4.5
2022 Mercedes-Benz GLE 450 AWD 4MATIC,"6,800 mi.","$73,990",4.8
2018 Mercedes-Benz GLC 300 Base 4MATIC,"54,467 mi.","$29,151",4.5
2022 Mercedes-Benz AMG GLA 35 Base,"8,690 mi.","$49,736",4.5
2022 Mercedes-Benz GLB 250 Base,"8,158 mi.","$42,000",4.1
2022 Mercedes-Benz S-Class S 500 4MATIC,"8,401 mi.","$86,986",4.5
2020 Mercedes-Benz AMG S 63 Base 4MATIC,"24,958 mi.","$105,997",4.8
2021 Mercedes-Benz GLC 300 Base 4MATIC,"49,278 mi.","$37,280",4.2
